triggerid,description,priority,lastchange,hosts
13075,Zabbix server: Excessive value cache usage,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13436,Zabbix server: Utilization of vmware collector processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13467,Zabbix server: Utilization of alerter processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13468,Zabbix server: Utilization of configuration syncer processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13471,Zabbix server: Utilization of escalator processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13472,Zabbix server: Utilization of history syncer processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13473,Zabbix server: Utilization of housekeeper processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13474,Zabbix server: Utilization of http poller processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13475,Zabbix server: Utilization of icmp pinger processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13476,Zabbix server: Utilization of ipmi poller processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13477,Zabbix server: Utilization of java poller processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13479,Zabbix server: Utilization of poller processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13480,Zabbix server: Utilization of proxy poller processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13481,Zabbix server: Utilization of self-monitoring processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13482,Zabbix server: Utilization of snmp trapper processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13483,Zabbix server: Utilization of timer processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13484,Zabbix server: Utilization of trapper processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13485,Zabbix server: Utilization of unreachable poller processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13486,Zabbix server: More than 100 items have been missing data for over 10 minutes,2,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13487,Zabbix server: Excessive configuration cache usage,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13488,Zabbix server: Excessive history cache usage,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13489,Zabbix server: Excessive history index cache usage,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13490,Zabbix server: Excessive trends cache usage,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13537,Zabbix server: Excessive vmware cache usage,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13558,Zabbix server: Zabbix value cache working in low-memory mode,4,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13560,Zabbix server: Utilization of task manager processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13563,Zabbix server: Utilization of ipmi manager processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13567,Zabbix server: Utilization of alert manager processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13570,Zabbix server: Utilization of preprocessing manager processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
13571,Zabbix server: Utilization of preprocessing worker processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
15854,Zabbix server: Utilization of LLD manager processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
15856,Zabbix server: Utilization of LLD worker processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
16274,Zabbix server: Utilization of alert syncer processes is high,3,0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
