ts,value,host,itemkey
1755527090,0.394864,Grafana,"system.cpu.util[,system]"
1755527150,0.553532,Grafana,"system.cpu.util[,system]"
1755527210,0.425265,Grafana,"system.cpu.util[,system]"
1755527270,0.461671,Grafana,"system.cpu.util[,system]"
1755527330,0.522252,Grafana,"system.cpu.util[,system]"
1755527390,0.783278,Grafana,"system.cpu.util[,system]"
1755527450,0.395042,Grafana,"system.cpu.util[,system]"
1755527510,0.420613,Grafana,"system.cpu.util[,system]"
1755527570,0.710675,Grafana,"system.cpu.util[,system]"
1755527630,0.430761,Grafana,"system.cpu.util[,system]"
1755527690,0.362046,Grafana,"system.cpu.util[,system]"
1755527750,0.366321,Grafana,"system.cpu.util[,system]"
1755527810,0.361925,Grafana,"system.cpu.util[,system]"
1755527870,1.156951,Grafana,"system.cpu.util[,system]"
1755527930,1.446711,Grafana,"system.cpu.util[,system]"
1755527990,0.332351,Grafana,"system.cpu.util[,system]"
1755528050,0.657067,Grafana,"system.cpu.util[,system]"
1755528110,3.174016,Grafana,"system.cpu.util[,system]"
1755528170,2.146476,Grafana,"system.cpu.util[,system]"
1755528230,4.174929,Grafana,"system.cpu.util[,system]"
1755528290,3.319616,Grafana,"system.cpu.util[,system]"
1755528350,0.608127,Grafana,"system.cpu.util[,system]"
1755528410,0.337583,Grafana,"system.cpu.util[,system]"
1755528470,0.323661,Grafana,"system.cpu.util[,system]"
1755528530,0.394073,Grafana,"system.cpu.util[,system]"
1755528590,0.310473,Grafana,"system.cpu.util[,system]"
1755528650,0.329899,Grafana,"system.cpu.util[,system]"
1755528710,0.308981,Grafana,"system.cpu.util[,system]"
1755528770,0.308121,Grafana,"system.cpu.util[,system]"
1755528830,0.303423,Grafana,"system.cpu.util[,system]"
1755528890,0.296492,Grafana,"system.cpu.util[,system]"
1755528950,1.43555,Grafana,"system.cpu.util[,system]"
1755529010,0.339444,Grafana,"system.cpu.util[,system]"
1755529070,0.3902,Grafana,"system.cpu.util[,system]"
1755529130,0.477076,Grafana,"system.cpu.util[,system]"
1755529190,0.779563,Grafana,"system.cpu.util[,system]"
1755529250,1.663837,Grafana,"system.cpu.util[,system]"
1755529310,0.601188,Grafana,"system.cpu.util[,system]"
1755529370,0.4353,Grafana,"system.cpu.util[,system]"
1755529430,0.256,Grafana,"system.cpu.util[,system]"
1755529490,0.251728,Grafana,"system.cpu.util[,system]"
1755529550,0.333897,Grafana,"system.cpu.util[,system]"
1755529610,0.340777,Grafana,"system.cpu.util[,system]"
1755529670,0.336076,Grafana,"system.cpu.util[,system]"
1755529730,0.364659,Grafana,"system.cpu.util[,system]"
1755529790,0.531639,Grafana,"system.cpu.util[,system]"
1755529850,1.039217,Grafana,"system.cpu.util[,system]"
1755529910,0.456762,Grafana,"system.cpu.util[,system]"
1755529970,0.372634,Grafana,"system.cpu.util[,system]"
1755530030,0.291374,Grafana,"system.cpu.util[,system]"
1755530090,0.272616,Grafana,"system.cpu.util[,system]"
1755530150,0.294545,Grafana,"system.cpu.util[,system]"
1755530210,0.431022,Grafana,"system.cpu.util[,system]"
1755530270,0.319426,Grafana,"system.cpu.util[,system]"
1755530330,0.255911,Grafana,"system.cpu.util[,system]"
1755530390,0.412666,Grafana,"system.cpu.util[,system]"
1755530450,0.286844,Grafana,"system.cpu.util[,system]"
1755530510,0.261547,Grafana,"system.cpu.util[,system]"
1755530570,0.274375,Grafana,"system.cpu.util[,system]"
1755530630,0.228155,Grafana,"system.cpu.util[,system]"
1755530690,0.23516,Grafana,"system.cpu.util[,system]"
1755530750,0.273205,Grafana,"system.cpu.util[,system]"
1755530810,0.250756,Grafana,"system.cpu.util[,system]"
1755530870,0.267142,Grafana,"system.cpu.util[,system]"
1755530930,0.237797,Grafana,"system.cpu.util[,system]"
1755530990,0.343139,Grafana,"system.cpu.util[,system]"
1755531050,0.346701,Grafana,"system.cpu.util[,system]"
1755531110,0.272662,Grafana,"system.cpu.util[,system]"
1755531170,0.362892,Grafana,"system.cpu.util[,system]"
1755531230,0.341822,Grafana,"system.cpu.util[,system]"
1755531290,0.279586,Grafana,"system.cpu.util[,system]"
1755531350,0.296373,Grafana,"system.cpu.util[,system]"
1755531410,0.278377,Grafana,"system.cpu.util[,system]"
1755531470,0.276789,Grafana,"system.cpu.util[,system]"
1755531530,0.487672,Grafana,"system.cpu.util[,system]"
1755531590,0.741136,Grafana,"system.cpu.util[,system]"
1755531650,0.532214,Grafana,"system.cpu.util[,system]"
1755531710,0.295421,Grafana,"system.cpu.util[,system]"
1755531770,0.439507,Grafana,"system.cpu.util[,system]"
1755531830,0.352034,Grafana,"system.cpu.util[,system]"
1755531890,0.295775,Grafana,"system.cpu.util[,system]"
1755531950,0.250007,Grafana,"system.cpu.util[,system]"
1755532010,0.291207,Grafana,"system.cpu.util[,system]"
1755532070,0.293426,Grafana,"system.cpu.util[,system]"
1755532130,0.301787,Grafana,"system.cpu.util[,system]"
1755532190,0.305371,Grafana,"system.cpu.util[,system]"
