ts,value,host,itemkey
1755527064,0.418223,Mysql Server,"system.cpu.util[,system]"
1755527124,0.55171,Mysql Server,"system.cpu.util[,system]"
1755527184,0.414278,Mysql Server,"system.cpu.util[,system]"
1755527244,0.480577,Mysql Server,"system.cpu.util[,system]"
1755527304,0.397088,Mysql Server,"system.cpu.util[,system]"
1755527364,0.652418,Mysql Server,"system.cpu.util[,system]"
1755527424,0.673733,Mysql Server,"system.cpu.util[,system]"
1755527484,0.394238,Mysql Server,"system.cpu.util[,system]"
1755527544,0.646533,Mysql Server,"system.cpu.util[,system]"
1755527604,0.468076,Mysql Server,"system.cpu.util[,system]"
1755527664,0.3875,Mysql Server,"system.cpu.util[,system]"
1755527724,0.367777,Mysql Server,"system.cpu.util[,system]"
1755527784,0.356511,Mysql Server,"system.cpu.util[,system]"
1755527844,0.350799,Mysql Server,"system.cpu.util[,system]"
1755527904,2.226098,Mysql Server,"system.cpu.util[,system]"
1755527964,0.400858,Mysql Server,"system.cpu.util[,system]"
1755528024,0.341044,Mysql Server,"system.cpu.util[,system]"
1755528084,2.242757,Mysql Server,"system.cpu.util[,system]"
1755528144,2.666787,Mysql Server,"system.cpu.util[,system]"
1755528204,2.494311,Mysql Server,"system.cpu.util[,system]"
1755528264,3.523744,Mysql Server,"system.cpu.util[,system]"
1755528324,2.448289,Mysql Server,"system.cpu.util[,system]"
1755528384,0.497654,Mysql Server,"system.cpu.util[,system]"
1755528444,0.310234,Mysql Server,"system.cpu.util[,system]"
1755528504,0.363307,Mysql Server,"system.cpu.util[,system]"
1755528564,0.346251,Mysql Server,"system.cpu.util[,system]"
1755528624,0.316867,Mysql Server,"system.cpu.util[,system]"
1755528684,0.334513,Mysql Server,"system.cpu.util[,system]"
1755528744,0.302574,Mysql Server,"system.cpu.util[,system]"
1755528804,0.303347,Mysql Server,"system.cpu.util[,system]"
1755528864,0.309046,Mysql Server,"system.cpu.util[,system]"
1755528924,1.131981,Mysql Server,"system.cpu.util[,system]"
1755528984,0.627151,Mysql Server,"system.cpu.util[,system]"
1755529044,0.360252,Mysql Server,"system.cpu.util[,system]"
1755529104,0.528432,Mysql Server,"system.cpu.util[,system]"
1755529164,0.559829,Mysql Server,"system.cpu.util[,system]"
1755529224,1.433844,Mysql Server,"system.cpu.util[,system]"
1755529284,0.859956,Mysql Server,"system.cpu.util[,system]"
1755529344,0.60088,Mysql Server,"system.cpu.util[,system]"
1755529404,0.313043,Mysql Server,"system.cpu.util[,system]"
1755529464,0.25177,Mysql Server,"system.cpu.util[,system]"
1755529524,0.288425,Mysql Server,"system.cpu.util[,system]"
1755529584,0.333329,Mysql Server,"system.cpu.util[,system]"
1755529644,0.361833,Mysql Server,"system.cpu.util[,system]"
1755529704,0.308053,Mysql Server,"system.cpu.util[,system]"
1755529764,0.531997,Mysql Server,"system.cpu.util[,system]"
1755529824,0.397194,Mysql Server,"system.cpu.util[,system]"
1755529884,1.058405,Mysql Server,"system.cpu.util[,system]"
1755529944,0.470711,Mysql Server,"system.cpu.util[,system]"
1755530004,0.277233,Mysql Server,"system.cpu.util[,system]"
1755530064,0.30254,Mysql Server,"system.cpu.util[,system]"
1755530124,0.276746,Mysql Server,"system.cpu.util[,system]"
1755530184,0.337478,Mysql Server,"system.cpu.util[,system]"
1755530244,0.419323,Mysql Server,"system.cpu.util[,system]"
1755530304,0.278156,Mysql Server,"system.cpu.util[,system]"
1755530364,0.405625,Mysql Server,"system.cpu.util[,system]"
1755530424,0.262964,Mysql Server,"system.cpu.util[,system]"
1755530484,0.295166,Mysql Server,"system.cpu.util[,system]"
1755530544,0.260216,Mysql Server,"system.cpu.util[,system]"
1755530604,0.260301,Mysql Server,"system.cpu.util[,system]"
1755530664,0.210137,Mysql Server,"system.cpu.util[,system]"
1755530724,0.267607,Mysql Server,"system.cpu.util[,system]"
1755530784,0.255947,Mysql Server,"system.cpu.util[,system]"
1755530844,0.261941,Mysql Server,"system.cpu.util[,system]"
1755530904,0.258721,Mysql Server,"system.cpu.util[,system]"
1755530964,0.246124,Mysql Server,"system.cpu.util[,system]"
1755531024,0.385673,Mysql Server,"system.cpu.util[,system]"
1755531084,0.318445,Mysql Server,"system.cpu.util[,system]"
1755531144,0.33035,Mysql Server,"system.cpu.util[,system]"
1755531204,0.322706,Mysql Server,"system.cpu.util[,system]"
1755531264,0.324895,Mysql Server,"system.cpu.util[,system]"
1755531324,0.282395,Mysql Server,"system.cpu.util[,system]"
1755531384,0.290807,Mysql Server,"system.cpu.util[,system]"
1755531444,0.281149,Mysql Server,"system.cpu.util[,system]"
1755531504,0.399848,Mysql Server,"system.cpu.util[,system]"
1755531564,0.361689,Mysql Server,"system.cpu.util[,system]"
1755531624,0.792235,Mysql Server,"system.cpu.util[,system]"
1755531684,0.493478,Mysql Server,"system.cpu.util[,system]"
1755531744,0.367154,Mysql Server,"system.cpu.util[,system]"
1755531804,0.389408,Mysql Server,"system.cpu.util[,system]"
1755531864,0.344601,Mysql Server,"system.cpu.util[,system]"
1755531924,0.2504,Mysql Server,"system.cpu.util[,system]"
1755531984,0.256468,Mysql Server,"system.cpu.util[,system]"
1755532044,0.316306,Mysql Server,"system.cpu.util[,system]"
1755532104,0.283605,Mysql Server,"system.cpu.util[,system]"
1755532164,0.30363,Mysql Server,"system.cpu.util[,system]"
1755532224,0.281364,Mysql Server,"system.cpu.util[,system]"
1755532284,0.302014,Mysql Server,"system.cpu.util[,system]"
1755532344,0.275505,Mysql Server,"system.cpu.util[,system]"
1755532404,0.371928,Mysql Server,"system.cpu.util[,system]"
1755532464,0.380992,Mysql Server,"system.cpu.util[,system]"
1755532524,0.279644,Mysql Server,"system.cpu.util[,system]"
1755532584,0.324915,Mysql Server,"system.cpu.util[,system]"
1755532644,0.342776,Mysql Server,"system.cpu.util[,system]"
1755532704,0.314754,Mysql Server,"system.cpu.util[,system]"
1755532764,0.30624,Mysql Server,"system.cpu.util[,system]"
1755532824,0.310242,Mysql Server,"system.cpu.util[,system]"
1755532884,0.317584,Mysql Server,"system.cpu.util[,system]"
1755532944,0.298486,Mysql Server,"system.cpu.util[,system]"
1755533004,0.479343,Mysql Server,"system.cpu.util[,system]"
1755533064,0.618413,Mysql Server,"system.cpu.util[,system]"
1755533124,0.30473,Mysql Server,"system.cpu.util[,system]"
1755533184,0.308465,Mysql Server,"system.cpu.util[,system]"
1755533244,0.329365,Mysql Server,"system.cpu.util[,system]"
1755533304,0.324359,Mysql Server,"system.cpu.util[,system]"
1755533364,0.38108,Mysql Server,"system.cpu.util[,system]"
1755533424,0.300781,Mysql Server,"system.cpu.util[,system]"
1755533484,0.286692,Mysql Server,"system.cpu.util[,system]"
1755533544,0.32227,Mysql Server,"system.cpu.util[,system]"
1755533604,0.313165,Mysql Server,"system.cpu.util[,system]"
1755533664,0.254687,Mysql Server,"system.cpu.util[,system]"
1755533724,0.314917,Mysql Server,"system.cpu.util[,system]"
1755533784,0.265909,Mysql Server,"system.cpu.util[,system]"
1755533844,0.340146,Mysql Server,"system.cpu.util[,system]"
1755533904,0.735201,Mysql Server,"system.cpu.util[,system]"
1755533964,0.499133,Mysql Server,"system.cpu.util[,system]"
1755534024,0.361157,Mysql Server,"system.cpu.util[,system]"
1755534084,0.553165,Mysql Server,"system.cpu.util[,system]"
1755534144,0.457045,Mysql Server,"system.cpu.util[,system]"
