ts,value,host,itemkey
1755527065,0.409779,Mysql Server,"system.cpu.util[,user]"
1755527125,0.555957,Mysql Server,"system.cpu.util[,user]"
1755527185,0.491071,Mysql Server,"system.cpu.util[,user]"
1755527245,0.527769,Mysql Server,"system.cpu.util[,user]"
1755527305,0.527961,Mysql Server,"system.cpu.util[,user]"
1755527365,0.941876,Mysql Server,"system.cpu.util[,user]"
1755527425,0.704951,Mysql Server,"system.cpu.util[,user]"
1755527485,0.520943,Mysql Server,"system.cpu.util[,user]"
1755527545,0.605415,Mysql Server,"system.cpu.util[,user]"
1755527605,0.547234,Mysql Server,"system.cpu.util[,user]"
1755527665,0.40145,Mysql Server,"system.cpu.util[,user]"
1755527725,0.428362,Mysql Server,"system.cpu.util[,user]"
1755527785,0.350921,Mysql Server,"system.cpu.util[,user]"
1755527845,0.321575,Mysql Server,"system.cpu.util[,user]"
1755527905,0.33766,Mysql Server,"system.cpu.util[,user]"
1755527965,0.415824,Mysql Server,"system.cpu.util[,user]"
1755528025,0.33126,Mysql Server,"system.cpu.util[,user]"
1755528085,2.54089,Mysql Server,"system.cpu.util[,user]"
1755528145,4.790663,Mysql Server,"system.cpu.util[,user]"
1755528205,4.019645,Mysql Server,"system.cpu.util[,user]"
1755528265,3.883611,Mysql Server,"system.cpu.util[,user]"
1755528325,3.180745,Mysql Server,"system.cpu.util[,user]"
1755528385,0.640907,Mysql Server,"system.cpu.util[,user]"
1755528445,0.356354,Mysql Server,"system.cpu.util[,user]"
1755528505,0.420355,Mysql Server,"system.cpu.util[,user]"
1755528565,0.357562,Mysql Server,"system.cpu.util[,user]"
1755528625,0.329568,Mysql Server,"system.cpu.util[,user]"
1755528685,0.327407,Mysql Server,"system.cpu.util[,user]"
1755528745,0.288626,Mysql Server,"system.cpu.util[,user]"
1755528805,0.278311,Mysql Server,"system.cpu.util[,user]"
1755528865,0.283988,Mysql Server,"system.cpu.util[,user]"
1755528925,0.345426,Mysql Server,"system.cpu.util[,user]"
1755528985,0.364408,Mysql Server,"system.cpu.util[,user]"
1755529045,0.444961,Mysql Server,"system.cpu.util[,user]"
1755529105,0.650577,Mysql Server,"system.cpu.util[,user]"
1755529165,0.502604,Mysql Server,"system.cpu.util[,user]"
1755529225,1.119498,Mysql Server,"system.cpu.util[,user]"
1755529285,1.217117,Mysql Server,"system.cpu.util[,user]"
1755529345,0.696746,Mysql Server,"system.cpu.util[,user]"
1755529405,0.349213,Mysql Server,"system.cpu.util[,user]"
1755529465,0.27124,Mysql Server,"system.cpu.util[,user]"
1755529525,0.300978,Mysql Server,"system.cpu.util[,user]"
1755529585,0.366796,Mysql Server,"system.cpu.util[,user]"
1755529645,0.430264,Mysql Server,"system.cpu.util[,user]"
1755529705,0.355475,Mysql Server,"system.cpu.util[,user]"
1755529765,0.70984,Mysql Server,"system.cpu.util[,user]"
1755529825,0.554309,Mysql Server,"system.cpu.util[,user]"
1755529885,0.520507,Mysql Server,"system.cpu.util[,user]"
1755529945,0.569857,Mysql Server,"system.cpu.util[,user]"
1755530005,0.273127,Mysql Server,"system.cpu.util[,user]"
1755530065,0.387581,Mysql Server,"system.cpu.util[,user]"
1755530125,0.275405,Mysql Server,"system.cpu.util[,user]"
1755530185,0.38783,Mysql Server,"system.cpu.util[,user]"
1755530245,0.294068,Mysql Server,"system.cpu.util[,user]"
1755530305,0.244788,Mysql Server,"system.cpu.util[,user]"
1755530365,0.384561,Mysql Server,"system.cpu.util[,user]"
1755530425,0.268533,Mysql Server,"system.cpu.util[,user]"
1755530485,0.355035,Mysql Server,"system.cpu.util[,user]"
1755530545,0.326152,Mysql Server,"system.cpu.util[,user]"
1755530605,0.239291,Mysql Server,"system.cpu.util[,user]"
1755530665,0.231002,Mysql Server,"system.cpu.util[,user]"
1755530725,0.236954,Mysql Server,"system.cpu.util[,user]"
1755530785,0.271244,Mysql Server,"system.cpu.util[,user]"
1755530845,0.245228,Mysql Server,"system.cpu.util[,user]"
1755530905,0.237844,Mysql Server,"system.cpu.util[,user]"
1755530965,0.258646,Mysql Server,"system.cpu.util[,user]"
1755531025,0.423539,Mysql Server,"system.cpu.util[,user]"
1755531085,0.358939,Mysql Server,"system.cpu.util[,user]"
1755531145,0.37413,Mysql Server,"system.cpu.util[,user]"
1755531205,0.401997,Mysql Server,"system.cpu.util[,user]"
1755531265,0.35455,Mysql Server,"system.cpu.util[,user]"
1755531325,0.258729,Mysql Server,"system.cpu.util[,user]"
1755531385,0.233775,Mysql Server,"system.cpu.util[,user]"
1755531445,0.242181,Mysql Server,"system.cpu.util[,user]"
1755531505,0.473046,Mysql Server,"system.cpu.util[,user]"
1755531565,0.546798,Mysql Server,"system.cpu.util[,user]"
1755531625,0.478993,Mysql Server,"system.cpu.util[,user]"
1755531685,0.629381,Mysql Server,"system.cpu.util[,user]"
1755531745,0.473057,Mysql Server,"system.cpu.util[,user]"
1755531805,0.611733,Mysql Server,"system.cpu.util[,user]"
1755531865,0.396222,Mysql Server,"system.cpu.util[,user]"
1755531925,0.271274,Mysql Server,"system.cpu.util[,user]"
1755531985,0.310868,Mysql Server,"system.cpu.util[,user]"
1755532045,0.272624,Mysql Server,"system.cpu.util[,user]"
1755532105,0.271089,Mysql Server,"system.cpu.util[,user]"
1755532165,0.302241,Mysql Server,"system.cpu.util[,user]"
1755532225,0.313401,Mysql Server,"system.cpu.util[,user]"
1755532285,0.306189,Mysql Server,"system.cpu.util[,user]"
1755532345,0.267156,Mysql Server,"system.cpu.util[,user]"
1755532405,0.40677,Mysql Server,"system.cpu.util[,user]"
1755532465,0.336329,Mysql Server,"system.cpu.util[,user]"
1755532525,0.256043,Mysql Server,"system.cpu.util[,user]"
1755532585,0.38898,Mysql Server,"system.cpu.util[,user]"
1755532645,0.337216,Mysql Server,"system.cpu.util[,user]"
1755532705,0.309158,Mysql Server,"system.cpu.util[,user]"
1755532765,0.324332,Mysql Server,"system.cpu.util[,user]"
1755532825,0.307469,Mysql Server,"system.cpu.util[,user]"
1755532885,0.273007,Mysql Server,"system.cpu.util[,user]"
1755532945,0.270182,Mysql Server,"system.cpu.util[,user]"
1755533005,0.417522,Mysql Server,"system.cpu.util[,user]"
1755533065,0.295957,Mysql Server,"system.cpu.util[,user]"
1755533125,0.26754,Mysql Server,"system.cpu.util[,user]"
1755533185,0.309386,Mysql Server,"system.cpu.util[,user]"
1755533245,0.302865,Mysql Server,"system.cpu.util[,user]"
1755533305,0.328558,Mysql Server,"system.cpu.util[,user]"
1755533365,0.3208,Mysql Server,"system.cpu.util[,user]"
1755533425,0.288257,Mysql Server,"system.cpu.util[,user]"
1755533485,0.293659,Mysql Server,"system.cpu.util[,user]"
1755533545,0.267853,Mysql Server,"system.cpu.util[,user]"
1755533605,0.278373,Mysql Server,"system.cpu.util[,user]"
1755533665,0.271376,Mysql Server,"system.cpu.util[,user]"
1755533725,0.338605,Mysql Server,"system.cpu.util[,user]"
1755533785,0.367785,Mysql Server,"system.cpu.util[,user]"
1755533845,0.298129,Mysql Server,"system.cpu.util[,user]"
1755533905,0.54573,Mysql Server,"system.cpu.util[,user]"
1755533965,0.699389,Mysql Server,"system.cpu.util[,user]"
1755534025,0.373751,Mysql Server,"system.cpu.util[,user]"
1755534085,0.777054,Mysql Server,"system.cpu.util[,user]"
1755534145,0.576209,Mysql Server,"system.cpu.util[,user]"
1755534205,0.386826,Mysql Server,"system.cpu.util[,user]"
1755534265,0.483751,Mysql Server,"system.cpu.util[,user]"
1755534325,0.555921,Mysql Server,"system.cpu.util[,user]"
1755534385,0.413886,Mysql Server,"system.cpu.util[,user]"
1755534445,0.334206,Mysql Server,"system.cpu.util[,user]"
1755534505,0.306385,Mysql Server,"system.cpu.util[,user]"
1755534565,0.329825,Mysql Server,"system.cpu.util[,user]"
1755534625,0.32016,Mysql Server,"system.cpu.util[,user]"
1755534685,0.318795,Mysql Server,"system.cpu.util[,user]"
1755534745,0.315317,Mysql Server,"system.cpu.util[,user]"
1755534805,0.282679,Mysql Server,"system.cpu.util[,user]"
1755534865,0.309205,Mysql Server,"system.cpu.util[,user]"
1755534925,0.295141,Mysql Server,"system.cpu.util[,user]"
1755534985,0.272908,Mysql Server,"system.cpu.util[,user]"
1755535045,0.308396,Mysql Server,"system.cpu.util[,user]"
1755535105,0.270221,Mysql Server,"system.cpu.util[,user]"
1755535165,0.311843,Mysql Server,"system.cpu.util[,user]"
1755535225,0.283718,Mysql Server,"system.cpu.util[,user]"
1755535516,0.583123,Mysql Server,"system.cpu.util[,user]"
1755535525,0.700912,Mysql Server,"system.cpu.util[,user]"
1755535585,0.580678,Mysql Server,"system.cpu.util[,user]"
1755535645,0.443205,Mysql Server,"system.cpu.util[,user]"
1755535705,0.407281,Mysql Server,"system.cpu.util[,user]"
1755535765,0.306381,Mysql Server,"system.cpu.util[,user]"
1755535825,0.306287,Mysql Server,"system.cpu.util[,user]"
1755535885,0.292475,Mysql Server,"system.cpu.util[,user]"
1755535945,0.312805,Mysql Server,"system.cpu.util[,user]"
1755536005,0.286856,Mysql Server,"system.cpu.util[,user]"
1755536065,0.295285,Mysql Server,"system.cpu.util[,user]"
1755536234,0.413724,Mysql Server,"system.cpu.util[,user]"
1755536245,0.510856,Mysql Server,"system.cpu.util[,user]"
1755536305,0.890853,Mysql Server,"system.cpu.util[,user]"
1755536365,3.053252,Mysql Server,"system.cpu.util[,user]"
1755536425,2.13337,Mysql Server,"system.cpu.util[,user]"
1755536485,1.934095,Mysql Server,"system.cpu.util[,user]"
1755536545,1.560194,Mysql Server,"system.cpu.util[,user]"
1755536605,2.042502,Mysql Server,"system.cpu.util[,user]"
1755536665,2.676698,Mysql Server,"system.cpu.util[,user]"
1755536725,3.239205,Mysql Server,"system.cpu.util[,user]"
1755536785,2.117429,Mysql Server,"system.cpu.util[,user]"
1755536845,2.037949,Mysql Server,"system.cpu.util[,user]"
1755536906,2.181767,Mysql Server,"system.cpu.util[,user]"
1755536965,2.395913,Mysql Server,"system.cpu.util[,user]"
1755537025,2.332545,Mysql Server,"system.cpu.util[,user]"
1755537085,1.17544,Mysql Server,"system.cpu.util[,user]"
1755537145,2.141818,Mysql Server,"system.cpu.util[,user]"
1755537205,1.95781,Mysql Server,"system.cpu.util[,user]"
1755537265,2.420841,Mysql Server,"system.cpu.util[,user]"
1755537325,2.219279,Mysql Server,"system.cpu.util[,user]"
1755537385,2.03153,Mysql Server,"system.cpu.util[,user]"
1755537445,3.21935,Mysql Server,"system.cpu.util[,user]"
1755537505,2.687854,Mysql Server,"system.cpu.util[,user]"
1755537565,2.582682,Mysql Server,"system.cpu.util[,user]"
1755537625,2.936022,Mysql Server,"system.cpu.util[,user]"
1755537685,3.548714,Mysql Server,"system.cpu.util[,user]"
1755537745,8.119177,Mysql Server,"system.cpu.util[,user]"
1755537805,3.298877,Mysql Server,"system.cpu.util[,user]"
1755537865,1.971018,Mysql Server,"system.cpu.util[,user]"
1755537925,2.105189,Mysql Server,"system.cpu.util[,user]"
1755537985,3.148326,Mysql Server,"system.cpu.util[,user]"
1755538045,2.591641,Mysql Server,"system.cpu.util[,user]"
1755538105,1.979771,Mysql Server,"system.cpu.util[,user]"
1755538165,1.626901,Mysql Server,"system.cpu.util[,user]"
1755538225,2.020345,Mysql Server,"system.cpu.util[,user]"
1755538285,1.922408,Mysql Server,"system.cpu.util[,user]"
1755538345,5.034858,Mysql Server,"system.cpu.util[,user]"
1755538405,2.088776,Mysql Server,"system.cpu.util[,user]"
1755538465,1.725853,Mysql Server,"system.cpu.util[,user]"
1755538525,3.406431,Mysql Server,"system.cpu.util[,user]"
1755538585,2.164454,Mysql Server,"system.cpu.util[,user]"
1755538645,1.971314,Mysql Server,"system.cpu.util[,user]"
1755538705,2.247302,Mysql Server,"system.cpu.util[,user]"
1755538765,4.010677,Mysql Server,"system.cpu.util[,user]"
1755538825,2.235747,Mysql Server,"system.cpu.util[,user]"
1755538885,2.140081,Mysql Server,"system.cpu.util[,user]"
1755538945,2.038604,Mysql Server,"system.cpu.util[,user]"
1755539005,2.801811,Mysql Server,"system.cpu.util[,user]"
1755539065,1.996793,Mysql Server,"system.cpu.util[,user]"
1755539125,1.272084,Mysql Server,"system.cpu.util[,user]"
1755539185,1.865521,Mysql Server,"system.cpu.util[,user]"
1755539245,2.029309,Mysql Server,"system.cpu.util[,user]"
1755539305,2.127332,Mysql Server,"system.cpu.util[,user]"
1755539365,2.15674,Mysql Server,"system.cpu.util[,user]"
1755539425,1.260732,Mysql Server,"system.cpu.util[,user]"
1755539485,2.082377,Mysql Server,"system.cpu.util[,user]"
1755539545,2.104629,Mysql Server,"system.cpu.util[,user]"
1755539605,1.973373,Mysql Server,"system.cpu.util[,user]"
1755539665,2.138851,Mysql Server,"system.cpu.util[,user]"
1755539725,3.177674,Mysql Server,"system.cpu.util[,user]"
1755539785,3.10666,Mysql Server,"system.cpu.util[,user]"
1755539845,2.248378,Mysql Server,"system.cpu.util[,user]"
1755539905,2.833213,Mysql Server,"system.cpu.util[,user]"
1755539965,1.953903,Mysql Server,"system.cpu.util[,user]"
1755540025,2.435345,Mysql Server,"system.cpu.util[,user]"
1755540085,2.032956,Mysql Server,"system.cpu.util[,user]"
1755540145,5.441806,Mysql Server,"system.cpu.util[,user]"
1755540205,1.490153,Mysql Server,"system.cpu.util[,user]"
1755540265,2.1363,Mysql Server,"system.cpu.util[,user]"
1755540325,0.393196,Mysql Server,"system.cpu.util[,user]"
1755540385,0.551239,Mysql Server,"system.cpu.util[,user]"
1755540445,0.788929,Mysql Server,"system.cpu.util[,user]"
1755540505,1.23121,Mysql Server,"system.cpu.util[,user]"
1755540565,0.506336,Mysql Server,"system.cpu.util[,user]"
1755540625,0.497284,Mysql Server,"system.cpu.util[,user]"
1755540685,0.458268,Mysql Server,"system.cpu.util[,user]"
1755540745,0.772649,Mysql Server,"system.cpu.util[,user]"
1755540805,0.377998,Mysql Server,"system.cpu.util[,user]"
1755540865,0.577327,Mysql Server,"system.cpu.util[,user]"
1755540925,0.358138,Mysql Server,"system.cpu.util[,user]"
1755540985,0.320031,Mysql Server,"system.cpu.util[,user]"
1755541045,0.830912,Mysql Server,"system.cpu.util[,user]"
1755541105,2.319738,Mysql Server,"system.cpu.util[,user]"
1755541165,0.397817,Mysql Server,"system.cpu.util[,user]"
1755541225,0.336799,Mysql Server,"system.cpu.util[,user]"
1755541285,0.466903,Mysql Server,"system.cpu.util[,user]"
1755541345,0.46995,Mysql Server,"system.cpu.util[,user]"
1755541405,0.419551,Mysql Server,"system.cpu.util[,user]"
1755541465,0.357615,Mysql Server,"system.cpu.util[,user]"
1755541525,0.456313,Mysql Server,"system.cpu.util[,user]"
1755541585,0.427183,Mysql Server,"system.cpu.util[,user]"
1755541645,0.405095,Mysql Server,"system.cpu.util[,user]"
1755541705,0.898844,Mysql Server,"system.cpu.util[,user]"
1755541765,1.072909,Mysql Server,"system.cpu.util[,user]"
1755541825,0.384551,Mysql Server,"system.cpu.util[,user]"
1755541885,1.84642,Mysql Server,"system.cpu.util[,user]"
1755541945,2.878747,Mysql Server,"system.cpu.util[,user]"
1755542005,0.519836,Mysql Server,"system.cpu.util[,user]"
1755542065,0.361669,Mysql Server,"system.cpu.util[,user]"
1755542125,0.4461,Mysql Server,"system.cpu.util[,user]"
1755542185,0.6343,Mysql Server,"system.cpu.util[,user]"
1755542245,0.877218,Mysql Server,"system.cpu.util[,user]"
1755542305,0.331149,Mysql Server,"system.cpu.util[,user]"
1755542365,0.380064,Mysql Server,"system.cpu.util[,user]"
1755542425,0.330883,Mysql Server,"system.cpu.util[,user]"
1755542485,0.430872,Mysql Server,"system.cpu.util[,user]"
1755542545,0.351941,Mysql Server,"system.cpu.util[,user]"
1755542605,0.327262,Mysql Server,"system.cpu.util[,user]"
1755542665,0.3355,Mysql Server,"system.cpu.util[,user]"
1755542725,0.416108,Mysql Server,"system.cpu.util[,user]"
1755542785,0.444666,Mysql Server,"system.cpu.util[,user]"
1755542845,0.382916,Mysql Server,"system.cpu.util[,user]"
1755542905,0.335763,Mysql Server,"system.cpu.util[,user]"
1755542965,0.415262,Mysql Server,"system.cpu.util[,user]"
