ts,value,host,itemkey
1755527058,0.439202,Prometheus,"system.cpu.util[,system]"
1755527118,0.528973,Prometheus,"system.cpu.util[,system]"
1755527178,0.426879,Prometheus,"system.cpu.util[,system]"
1755527238,0.486367,Prometheus,"system.cpu.util[,system]"
1755527298,0.395607,Prometheus,"system.cpu.util[,system]"
1755527358,0.656914,Prometheus,"system.cpu.util[,system]"
1755527418,0.676752,Prometheus,"system.cpu.util[,system]"
1755527478,0.363278,Prometheus,"system.cpu.util[,system]"
1755527538,0.659176,Prometheus,"system.cpu.util[,system]"
1755527598,0.499184,Prometheus,"system.cpu.util[,system]"
1755527658,0.380562,Prometheus,"system.cpu.util[,system]"
1755527718,0.373376,Prometheus,"system.cpu.util[,system]"
1755527778,0.346811,Prometheus,"system.cpu.util[,system]"
1755527838,0.350736,Prometheus,"system.cpu.util[,system]"
1755527898,2.197771,Prometheus,"system.cpu.util[,system]"
1755527958,0.433581,Prometheus,"system.cpu.util[,system]"
1755528018,0.335477,Prometheus,"system.cpu.util[,system]"
1755528078,2.00073,Prometheus,"system.cpu.util[,system]"
1755528138,2.898419,Prometheus,"system.cpu.util[,system]"
1755528198,2.020783,Prometheus,"system.cpu.util[,system]"
1755528258,4.055242,Prometheus,"system.cpu.util[,system]"
1755528318,2.445965,Prometheus,"system.cpu.util[,system]"
1755528378,0.484838,Prometheus,"system.cpu.util[,system]"
1755528438,0.318596,Prometheus,"system.cpu.util[,system]"
1755528498,0.368891,Prometheus,"system.cpu.util[,system]"
1755528558,0.330686,Prometheus,"system.cpu.util[,system]"
1755528618,0.315998,Prometheus,"system.cpu.util[,system]"
1755528678,0.341039,Prometheus,"system.cpu.util[,system]"
1755528738,0.306783,Prometheus,"system.cpu.util[,system]"
1755528798,0.30613,Prometheus,"system.cpu.util[,system]"
1755528858,0.307632,Prometheus,"system.cpu.util[,system]"
1755528918,1.14975,Prometheus,"system.cpu.util[,system]"
1755528978,0.617911,Prometheus,"system.cpu.util[,system]"
1755529038,0.360773,Prometheus,"system.cpu.util[,system]"
1755529098,0.511378,Prometheus,"system.cpu.util[,system]"
1755529158,0.552764,Prometheus,"system.cpu.util[,system]"
1755529218,1.382931,Prometheus,"system.cpu.util[,system]"
1755529278,0.940372,Prometheus,"system.cpu.util[,system]"
1755529338,0.585067,Prometheus,"system.cpu.util[,system]"
1755529398,0.339054,Prometheus,"system.cpu.util[,system]"
1755529458,0.257345,Prometheus,"system.cpu.util[,system]"
1755529518,0.280022,Prometheus,"system.cpu.util[,system]"
1755529578,0.327782,Prometheus,"system.cpu.util[,system]"
1755529638,0.363235,Prometheus,"system.cpu.util[,system]"
1755529698,0.303888,Prometheus,"system.cpu.util[,system]"
1755529758,0.524838,Prometheus,"system.cpu.util[,system]"
1755529818,0.397097,Prometheus,"system.cpu.util[,system]"
1755529878,1.079926,Prometheus,"system.cpu.util[,system]"
1755529938,0.4679,Prometheus,"system.cpu.util[,system]"
1755529998,0.270742,Prometheus,"system.cpu.util[,system]"
1755530058,0.309481,Prometheus,"system.cpu.util[,system]"
1755530118,0.272589,Prometheus,"system.cpu.util[,system]"
1755530178,0.343046,Prometheus,"system.cpu.util[,system]"
1755530238,0.41791,Prometheus,"system.cpu.util[,system]"
