ts,value,host,itemkey
1755527059,0.407099,Prometheus,"system.cpu.util[,user]"
1755527119,0.502078,Prometheus,"system.cpu.util[,user]"
1755527179,0.530127,Prometheus,"system.cpu.util[,user]"
1755527239,0.54494,Prometheus,"system.cpu.util[,user]"
1755527299,0.499852,Prometheus,"system.cpu.util[,user]"
1755527359,0.897483,Prometheus,"system.cpu.util[,user]"
1755527419,0.769628,Prometheus,"system.cpu.util[,user]"
1755527479,0.418204,Prometheus,"system.cpu.util[,user]"
1755527539,0.626198,Prometheus,"system.cpu.util[,user]"
1755527599,0.627423,Prometheus,"system.cpu.util[,user]"
1755527659,0.404271,Prometheus,"system.cpu.util[,user]"
1755527719,0.418469,Prometheus,"system.cpu.util[,user]"
1755527779,0.391365,Prometheus,"system.cpu.util[,user]"
1755527839,0.308981,Prometheus,"system.cpu.util[,user]"
1755527899,0.34322,Prometheus,"system.cpu.util[,user]"
1755527959,0.412345,Prometheus,"system.cpu.util[,user]"
1755528019,0.328469,Prometheus,"system.cpu.util[,user]"
1755528079,2.047844,Prometheus,"system.cpu.util[,user]"
1755528139,4.92317,Prometheus,"system.cpu.util[,user]"
1755528199,3.489659,Prometheus,"system.cpu.util[,user]"
1755528259,4.488774,Prometheus,"system.cpu.util[,user]"
1755528319,3.120331,Prometheus,"system.cpu.util[,user]"
1755528379,0.677687,Prometheus,"system.cpu.util[,user]"
1755528439,0.360491,Prometheus,"system.cpu.util[,user]"
1755528499,0.441283,Prometheus,"system.cpu.util[,user]"
1755528559,0.357531,Prometheus,"system.cpu.util[,user]"
1755528619,0.307671,Prometheus,"system.cpu.util[,user]"
1755528679,0.329839,Prometheus,"system.cpu.util[,user]"
1755528739,0.295615,Prometheus,"system.cpu.util[,user]"
1755528799,0.279707,Prometheus,"system.cpu.util[,user]"
1755528859,0.295096,Prometheus,"system.cpu.util[,user]"
1755528919,0.345645,Prometheus,"system.cpu.util[,user]"
1755528979,0.36601,Prometheus,"system.cpu.util[,user]"
1755529039,0.421112,Prometheus,"system.cpu.util[,user]"
1755529099,0.637802,Prometheus,"system.cpu.util[,user]"
1755529159,0.425764,Prometheus,"system.cpu.util[,user]"
1755529219,1.103538,Prometheus,"system.cpu.util[,user]"
1755529279,1.311628,Prometheus,"system.cpu.util[,user]"
1755529339,0.695385,Prometheus,"system.cpu.util[,user]"
1755529399,0.382603,Prometheus,"system.cpu.util[,user]"
1755529459,0.276823,Prometheus,"system.cpu.util[,user]"
1755529519,0.281427,Prometheus,"system.cpu.util[,user]"
1755529579,0.393327,Prometheus,"system.cpu.util[,user]"
1755529639,0.434485,Prometheus,"system.cpu.util[,user]"
1755529699,0.326178,Prometheus,"system.cpu.util[,user]"
1755529759,0.682883,Prometheus,"system.cpu.util[,user]"
1755529819,0.578753,Prometheus,"system.cpu.util[,user]"
1755529879,0.526839,Prometheus,"system.cpu.util[,user]"
1755529939,0.576077,Prometheus,"system.cpu.util[,user]"
1755529999,0.288888,Prometheus,"system.cpu.util[,user]"
1755530059,0.38476,Prometheus,"system.cpu.util[,user]"
1755530119,0.276758,Prometheus,"system.cpu.util[,user]"
1755530179,0.387863,Prometheus,"system.cpu.util[,user]"
1755530239,0.288468,Prometheus,"system.cpu.util[,user]"
1755530299,0.260105,Prometheus,"system.cpu.util[,user]"
1755530359,0.370495,Prometheus,"system.cpu.util[,user]"
1755530419,0.26017,Prometheus,"system.cpu.util[,user]"
1755530479,0.359266,Prometheus,"system.cpu.util[,user]"
1755530539,0.257284,Prometheus,"system.cpu.util[,user]"
1755530599,0.326221,Prometheus,"system.cpu.util[,user]"
1755530659,0.237963,Prometheus,"system.cpu.util[,user]"
1755530719,0.232785,Prometheus,"system.cpu.util[,user]"
1755530779,0.271236,Prometheus,"system.cpu.util[,user]"
1755530839,0.238258,Prometheus,"system.cpu.util[,user]"
1755530899,0.240622,Prometheus,"system.cpu.util[,user]"
1755530959,0.250334,Prometheus,"system.cpu.util[,user]"
1755531019,0.415112,Prometheus,"system.cpu.util[,user]"
1755531079,0.377074,Prometheus,"system.cpu.util[,user]"
1755531139,0.35126,Prometheus,"system.cpu.util[,user]"
