ts,value,host,itemkey
1755527089,0.408923,Zabbix server,"system.cpu.util[,system]"
1755527149,0.552081,Zabbix server,"system.cpu.util[,system]"
1755527209,0.428071,Zabbix server,"system.cpu.util[,system]"
1755527269,0.458801,Zabbix server,"system.cpu.util[,system]"
1755527329,0.520826,Zabbix server,"system.cpu.util[,system]"
1755527389,0.797375,Zabbix server,"system.cpu.util[,system]"
1755527449,0.397819,Zabbix server,"system.cpu.util[,system]"
1755527509,0.420625,Zabbix server,"system.cpu.util[,system]"
1755527569,0.683862,Zabbix server,"system.cpu.util[,system]"
1755527629,0.443406,Zabbix server,"system.cpu.util[,system]"
1755527689,0.359261,Zabbix server,"system.cpu.util[,system]"
1755527749,0.372051,Zabbix server,"system.cpu.util[,system]"
1755527809,0.35768,Zabbix server,"system.cpu.util[,system]"
1755527869,1.151463,Zabbix server,"system.cpu.util[,system]"
1755527929,1.455825,Zabbix server,"system.cpu.util[,system]"
1755527989,0.325369,Zabbix server,"system.cpu.util[,system]"
1755528049,0.616464,Zabbix server,"system.cpu.util[,system]"
1755528109,3.126474,Zabbix server,"system.cpu.util[,system]"
1755528169,2.11361,Zabbix server,"system.cpu.util[,system]"
1755528229,4.165366,Zabbix server,"system.cpu.util[,system]"
1755528289,3.307266,Zabbix server,"system.cpu.util[,system]"
1755528349,0.904073,Zabbix server,"system.cpu.util[,system]"
1755528409,0.343925,Zabbix server,"system.cpu.util[,system]"
1755528469,0.317287,Zabbix server,"system.cpu.util[,system]"
1755528529,0.399734,Zabbix server,"system.cpu.util[,system]"
1755528589,0.306321,Zabbix server,"system.cpu.util[,system]"
1755528649,0.331269,Zabbix server,"system.cpu.util[,system]"
1755528709,0.31594,Zabbix server,"system.cpu.util[,system]"
1755528769,0.309516,Zabbix server,"system.cpu.util[,system]"
1755528829,0.303435,Zabbix server,"system.cpu.util[,system]"
1755528889,0.293692,Zabbix server,"system.cpu.util[,system]"
1755528949,1.455226,Zabbix server,"system.cpu.util[,system]"
1755529009,0.349828,Zabbix server,"system.cpu.util[,system]"
1755529069,0.391599,Zabbix server,"system.cpu.util[,system]"
1755529129,0.487001,Zabbix server,"system.cpu.util[,system]"
1755529189,0.76922,Zabbix server,"system.cpu.util[,system]"
1755529249,1.664049,Zabbix server,"system.cpu.util[,system]"
1755529309,0.60718,Zabbix server,"system.cpu.util[,system]"
1755529369,0.42555,Zabbix server,"system.cpu.util[,system]"
1755529429,0.264307,Zabbix server,"system.cpu.util[,system]"
1755529489,0.25314,Zabbix server,"system.cpu.util[,system]"
1755529549,0.332518,Zabbix server,"system.cpu.util[,system]"
1755529609,0.344943,Zabbix server,"system.cpu.util[,system]"
1755529669,0.330516,Zabbix server,"system.cpu.util[,system]"
1755529729,0.346531,Zabbix server,"system.cpu.util[,system]"
1755529789,0.551833,Zabbix server,"system.cpu.util[,system]"
1755529849,1.052722,Zabbix server,"system.cpu.util[,system]"
1755529909,0.456794,Zabbix server,"system.cpu.util[,system]"
1755529969,0.368437,Zabbix server,"system.cpu.util[,system]"
1755530029,0.296934,Zabbix server,"system.cpu.util[,system]"
