ts,value,host,itemkey
1755527090,0.429882,Zabbix server,"system.cpu.util[,user]"
1755527150,0.543624,Zabbix server,"system.cpu.util[,user]"
1755527210,0.467114,Zabbix server,"system.cpu.util[,user]"
1755527270,0.605477,Zabbix server,"system.cpu.util[,user]"
1755527330,0.672693,Zabbix server,"system.cpu.util[,user]"
1755527390,0.966983,Zabbix server,"system.cpu.util[,user]"
1755527450,0.439548,Zabbix server,"system.cpu.util[,user]"
1755527511,0.533745,Zabbix server,"system.cpu.util[,user]"
1755527570,0.713381,Zabbix server,"system.cpu.util[,user]"
1755527630,0.453298,Zabbix server,"system.cpu.util[,user]"
1755527690,0.387106,Zabbix server,"system.cpu.util[,user]"
1755527750,0.40718,Zabbix server,"system.cpu.util[,user]"
1755527810,0.336874,Zabbix server,"system.cpu.util[,user]"
1755527871,0.316723,Zabbix server,"system.cpu.util[,user]"
1755527930,0.423759,Zabbix server,"system.cpu.util[,user]"
1755527990,0.337932,Zabbix server,"system.cpu.util[,user]"
1755528050,0.740948,Zabbix server,"system.cpu.util[,user]"
1755528110,4.34273,Zabbix server,"system.cpu.util[,user]"
1755528170,3.388972,Zabbix server,"system.cpu.util[,user]"
1755528230,5.281156,Zabbix server,"system.cpu.util[,user]"
1755528290,4.211822,Zabbix server,"system.cpu.util[,user]"
1755528350,0.972447,Zabbix server,"system.cpu.util[,user]"
1755528411,0.410999,Zabbix server,"system.cpu.util[,user]"
1755528470,0.355743,Zabbix server,"system.cpu.util[,user]"
1755528530,0.45764,Zabbix server,"system.cpu.util[,user]"
1755528590,0.302123,Zabbix server,"system.cpu.util[,user]"
1755528650,0.325696,Zabbix server,"system.cpu.util[,user]"
1755528710,0.313161,Zabbix server,"system.cpu.util[,user]"
1755528770,0.294175,Zabbix server,"system.cpu.util[,user]"
1755528830,0.297859,Zabbix server,"system.cpu.util[,user]"
1755528890,0.251945,Zabbix server,"system.cpu.util[,user]"
1755528950,0.416158,Zabbix server,"system.cpu.util[,user]"
1755529010,0.38858,Zabbix server,"system.cpu.util[,user]"
1755529070,0.479402,Zabbix server,"system.cpu.util[,user]"
1755529131,0.596608,Zabbix server,"system.cpu.util[,user]"
1755529190,0.637086,Zabbix server,"system.cpu.util[,user]"
1755529250,1.556332,Zabbix server,"system.cpu.util[,user]"
1755529310,0.850698,Zabbix server,"system.cpu.util[,user]"
1755529370,0.498299,Zabbix server,"system.cpu.util[,user]"
1755529430,0.299122,Zabbix server,"system.cpu.util[,user]"
1755529490,0.244771,Zabbix server,"system.cpu.util[,user]"
1755529550,0.398161,Zabbix server,"system.cpu.util[,user]"
1755529610,0.382682,Zabbix server,"system.cpu.util[,user]"
1755529670,0.382111,Zabbix server,"system.cpu.util[,user]"
1755529730,0.420308,Zabbix server,"system.cpu.util[,user]"
1755529790,0.765041,Zabbix server,"system.cpu.util[,user]"
1755529850,0.488413,Zabbix server,"system.cpu.util[,user]"
1755529910,0.695674,Zabbix server,"system.cpu.util[,user]"
1755529970,0.326583,Zabbix server,"system.cpu.util[,user]"
1755530030,0.365259,Zabbix server,"system.cpu.util[,user]"
